timestamp,chain_url,block_number,epoch_id,phase,submissions_count
2026-06-05T00:31:26.370Z,ws://10.2.2.11:9945,55596,75,Collecting,1000
2026-06-05T00:31:26.370Z,ws://10.2.2.14:9946,46573,50,Collecting,0
2026-06-05T00:31:26.370Z,ws://10.2.2.11:9950,7054,58,Collecting,0
2026-06-05T00:31:41.437Z,ws://10.2.2.11:9945,55598,75,Collecting,1000
2026-06-05T00:31:41.437Z,ws://10.2.2.14:9946,46575,50,Collecting,0
2026-06-05T00:31:41.437Z,ws://10.2.2.11:9950,7056,58,Collecting,20
2026-06-05T00:31:56.437Z,ws://10.2.2.11:9945,55601,75,Collecting,1000
2026-06-05T00:31:56.437Z,ws://10.2.2.14:9946,46577,50,Collecting,788
2026-06-05T00:31:56.437Z,ws://10.2.2.11:9950,7059,58,Collecting,209
2026-06-05T00:32:11.437Z,ws://10.2.2.11:9945,55603,75,Collecting,1000
2026-06-05T00:32:11.437Z,ws://10.2.2.14:9946,46578,50,Collecting,1000
2026-06-05T00:32:11.437Z,ws://10.2.2.11:9950,7061,58,Syncing,209
2026-06-05T00:32:26.437Z,ws://10.2.2.11:9945,55606,75,Collecting,1000
2026-06-05T00:32:26.437Z,ws://10.2.2.14:9946,46580,50,Collecting,1000
2026-06-05T00:32:26.437Z,ws://10.2.2.11:9950,7064,58,Syncing,209
2026-06-05T00:32:41.438Z,ws://10.2.2.11:9945,55608,75,Collecting,1000
2026-06-05T00:32:41.438Z,ws://10.2.2.14:9946,46581,50,Collecting,1000
2026-06-05T00:32:41.438Z,ws://10.2.2.11:9950,7066,58,Syncing,209
2026-06-05T00:32:56.438Z,ws://10.2.2.11:9945,55611,75,Collecting,1000
2026-06-05T00:32:56.438Z,ws://10.2.2.14:9946,46583,50,Collecting,1000
2026-06-05T00:32:56.438Z,ws://10.2.2.11:9950,7069,58,Syncing,209
2026-06-05T00:33:11.438Z,ws://10.2.2.11:9945,55613,75,Collecting,1000
2026-06-05T00:33:11.438Z,ws://10.2.2.14:9946,46585,50,Collecting,1000
2026-06-05T00:33:11.438Z,ws://10.2.2.11:9950,7071,58,Syncing,209
2026-06-05T00:33:26.438Z,ws://10.2.2.11:9945,55616,75,Collecting,1000
2026-06-05T00:33:26.438Z,ws://10.2.2.14:9946,46587,50,Collecting,1000
2026-06-05T00:33:26.438Z,ws://10.2.2.11:9950,7074,58,Syncing,209
2026-06-05T00:33:41.438Z,ws://10.2.2.11:9945,55618,75,Collecting,1000
2026-06-05T00:33:41.438Z,ws://10.2.2.14:9946,46588,50,Collecting,1000
2026-06-05T00:33:41.438Z,ws://10.2.2.11:9950,7076,58,Syncing,209
2026-06-05T00:33:56.438Z,ws://10.2.2.11:9945,55621,75,Collecting,1000
2026-06-05T00:33:56.438Z,ws://10.2.2.14:9946,46590,50,Collecting,1000
2026-06-05T00:33:56.438Z,ws://10.2.2.11:9950,7079,58,Syncing,209
2026-06-05T00:34:11.440Z,ws://10.2.2.11:9945,55623,75,Collecting,1000
2026-06-05T00:34:11.440Z,ws://10.2.2.14:9946,46591,50,Collecting,1000
2026-06-05T00:34:11.440Z,ws://10.2.2.11:9950,7081,59,Collecting,120
2026-06-05T00:34:26.440Z,ws://10.2.2.11:9945,55626,75,Collecting,1000
2026-06-05T00:34:26.440Z,ws://10.2.2.14:9946,46593,50,Collecting,1000
2026-06-05T00:34:26.440Z,ws://10.2.2.11:9950,7084,59,Collecting,244
2026-06-05T00:34:41.441Z,ws://10.2.2.11:9945,55628,75,Collecting,1000
2026-06-05T00:34:41.441Z,ws://10.2.2.14:9946,46595,50,Collecting,1000
2026-06-05T00:34:41.441Z,ws://10.2.2.11:9950,7086,59,Collecting,383
2026-06-05T00:34:56.442Z,ws://10.2.2.11:9945,55631,75,Collecting,1000
2026-06-05T00:34:56.442Z,ws://10.2.2.14:9946,46597,50,Collecting,1000
2026-06-05T00:34:56.442Z,ws://10.2.2.11:9950,7089,59,Collecting,500
2026-06-05T00:35:11.444Z,ws://10.2.2.11:9945,55633,75,Collecting,1000
2026-06-05T00:35:11.444Z,ws://10.2.2.14:9946,46598,50,Collecting,1000
2026-06-05T00:35:11.444Z,ws://10.2.2.11:9950,7091,59,Collecting,500
2026-06-05T00:35:26.444Z,ws://10.2.2.11:9945,55636,75,Collecting,1000
2026-06-05T00:35:26.444Z,ws://10.2.2.14:9946,46600,50,Collecting,1000
2026-06-05T00:35:26.444Z,ws://10.2.2.11:9950,7094,59,Collecting,500
2026-06-05T00:35:41.444Z,ws://10.2.2.11:9945,55638,75,Collecting,1000
2026-06-05T00:35:41.444Z,ws://10.2.2.14:9946,46601,50,Collecting,1000
2026-06-05T00:35:41.444Z,ws://10.2.2.11:9950,7096,59,Collecting,500
2026-06-05T00:35:56.444Z,ws://10.2.2.11:9945,55641,75,Collecting,1000
2026-06-05T00:35:56.444Z,ws://10.2.2.14:9946,46603,50,Collecting,1000
2026-06-05T00:35:56.444Z,ws://10.2.2.11:9950,7099,59,Collecting,500
2026-06-05T00:36:11.444Z,ws://10.2.2.11:9945,55643,75,Collecting,1000
2026-06-05T00:36:11.444Z,ws://10.2.2.14:9946,46605,50,Collecting,1000
2026-06-05T00:36:11.444Z,ws://10.2.2.11:9950,7101,59,Collecting,500
2026-06-05T00:36:26.444Z,ws://10.2.2.11:9945,55646,75,Collecting,1000
2026-06-05T00:36:26.444Z,ws://10.2.2.14:9946,46607,50,Collecting,1000
2026-06-05T00:36:26.444Z,ws://10.2.2.11:9950,7104,59,Collecting,500
2026-06-05T00:36:41.444Z,ws://10.2.2.11:9945,55648,75,Collecting,1000
2026-06-05T00:36:41.444Z,ws://10.2.2.14:9946,46608,50,Collecting,1000
2026-06-05T00:36:41.444Z,ws://10.2.2.11:9950,7106,59,Collecting,500
2026-06-05T00:36:56.444Z,ws://10.2.2.11:9945,55651,75,Collecting,1000
2026-06-05T00:36:56.444Z,ws://10.2.2.14:9946,46610,50,Collecting,1000
2026-06-05T00:36:56.444Z,ws://10.2.2.11:9950,7109,59,Collecting,500
2026-06-05T00:37:11.445Z,ws://10.2.2.11:9945,55653,75,Collecting,1000
