n,active_chains,measurement_source,aggregate_chain_accepted_delta,aggregate_chain_accepted_tps,sum_individual_chain_tps,chains_hit_cap,time_to_all_caps_s,worker_sent,worker_ok,worker_reject,worker_fail
1,child4,precise,10000,88.69,88.69,1,112.7,36118,36117,0,1
2,child4+child1,precise,20000,168.85,172.96,2,118.4,75369,75368,0,1
3,child4+child1+child6,precise,30000,252.62,264.58,3,118.8,111579,111576,0,3
4,child4+child1+child6+child3,precise,40000,246.87,316.46,4,162.0,205607,205603,0,4
5,child4+child1+child6+child3+child2,precise,50000,334.32,389.18,5,149.6,192615,192607,0,8
6,child4+child1+child6+child3+child2+child5,precise,60000,209.62,396.12,6,286.2,384093,383386,0,707
