timestamp,chain_url,block_number,epoch_id,phase,submissions_count
2026-06-06T00:11:43.381Z,ws://10.2.2.11:9945,69799,193,Collecting,0
2026-06-06T00:11:43.381Z,ws://10.2.2.17:9947,28686,239,Collecting,0
2026-06-06T00:11:43.381Z,ws://10.2.2.11:9948,28687,239,Collecting,0
2026-06-06T00:11:43.381Z,ws://10.2.2.11:9950,21241,177,Collecting,0
2026-06-06T00:11:58.446Z,ws://10.2.2.11:9945,69801,193,Collecting,2
2026-06-06T00:11:58.446Z,ws://10.2.2.17:9947,28688,239,Collecting,1
2026-06-06T00:11:58.446Z,ws://10.2.2.11:9948,28689,239,Collecting,2
2026-06-06T00:11:58.446Z,ws://10.2.2.11:9950,21243,177,Collecting,1
2026-06-06T00:12:13.446Z,ws://10.2.2.11:9945,69804,193,Collecting,4
2026-06-06T00:12:13.446Z,ws://10.2.2.17:9947,28691,239,Collecting,6
2026-06-06T00:12:13.446Z,ws://10.2.2.11:9948,28692,239,Collecting,4
2026-06-06T00:12:13.446Z,ws://10.2.2.11:9950,21246,177,Collecting,7
2026-06-06T00:12:28.447Z,ws://10.2.2.11:9945,69806,193,Collecting,9
2026-06-06T00:12:28.447Z,ws://10.2.2.17:9947,28693,239,Collecting,8
2026-06-06T00:12:28.447Z,ws://10.2.2.11:9948,28694,239,Collecting,6
2026-06-06T00:12:28.447Z,ws://10.2.2.11:9950,21248,177,Collecting,10
2026-06-06T00:12:43.447Z,ws://10.2.2.11:9945,69809,193,Collecting,14
2026-06-06T00:12:43.447Z,ws://10.2.2.17:9947,28696,239,Collecting,14
2026-06-06T00:12:43.447Z,ws://10.2.2.11:9948,28697,239,Collecting,10
2026-06-06T00:12:43.447Z,ws://10.2.2.11:9950,21251,177,Collecting,14
2026-06-06T00:12:58.448Z,ws://10.2.2.11:9945,69811,193,Collecting,16
2026-06-06T00:12:58.448Z,ws://10.2.2.17:9947,28698,239,Collecting,18
2026-06-06T00:12:58.448Z,ws://10.2.2.11:9948,28699,239,Collecting,14
2026-06-06T00:12:58.448Z,ws://10.2.2.11:9950,21253,177,Collecting,18
2026-06-06T00:13:13.448Z,ws://10.2.2.11:9945,69814,193,Collecting,22
2026-06-06T00:13:13.448Z,ws://10.2.2.17:9947,28701,239,Collecting,23
2026-06-06T00:13:13.448Z,ws://10.2.2.11:9948,28702,239,Collecting,21
2026-06-06T00:13:13.448Z,ws://10.2.2.11:9950,21256,177,Collecting,22
2026-06-06T00:13:28.449Z,ws://10.2.2.11:9945,69816,193,Collecting,26
2026-06-06T00:13:28.449Z,ws://10.2.2.17:9947,28703,239,Collecting,24
2026-06-06T00:13:28.449Z,ws://10.2.2.11:9948,28704,239,Collecting,24
2026-06-06T00:13:28.449Z,ws://10.2.2.11:9950,21258,177,Collecting,25
2026-06-06T00:13:43.449Z,ws://10.2.2.11:9945,69819,193,Collecting,34
2026-06-06T00:13:43.449Z,ws://10.2.2.17:9947,28706,239,Collecting,26
2026-06-06T00:13:43.449Z,ws://10.2.2.11:9948,28707,239,Collecting,29
2026-06-06T00:13:43.449Z,ws://10.2.2.11:9950,21261,177,Collecting,26
2026-06-06T00:13:58.449Z,ws://10.2.2.11:9945,69821,193,Collecting,37
2026-06-06T00:13:58.449Z,ws://10.2.2.17:9947,28708,239,Collecting,31
2026-06-06T00:13:58.449Z,ws://10.2.2.11:9948,28709,239,Collecting,31
2026-06-06T00:13:58.449Z,ws://10.2.2.11:9950,21263,177,Collecting,30
2026-06-06T00:14:13.450Z,ws://10.2.2.11:9945,69824,193,Collecting,41
2026-06-06T00:14:13.450Z,ws://10.2.2.17:9947,28711,239,Collecting,34
2026-06-06T00:14:13.450Z,ws://10.2.2.11:9948,28712,239,Collecting,32
2026-06-06T00:14:13.450Z,ws://10.2.2.11:9950,21266,177,Collecting,36
2026-06-06T00:14:28.451Z,ws://10.2.2.11:9945,69826,193,Collecting,41
2026-06-06T00:14:28.451Z,ws://10.2.2.17:9947,28713,239,Collecting,37
2026-06-06T00:14:28.451Z,ws://10.2.2.11:9948,28714,239,Collecting,33
2026-06-06T00:14:28.451Z,ws://10.2.2.11:9950,21268,177,Collecting,37
2026-06-06T00:14:43.451Z,ws://10.2.2.11:9945,69829,193,Collecting,43
2026-06-06T00:14:43.451Z,ws://10.2.2.17:9947,28716,239,Collecting,41
2026-06-06T00:14:43.451Z,ws://10.2.2.11:9948,28717,239,Collecting,43
2026-06-06T00:14:43.451Z,ws://10.2.2.11:9950,21271,177,Collecting,42
2026-06-06T00:14:58.452Z,ws://10.2.2.11:9945,69831,193,Collecting,46
2026-06-06T00:14:58.452Z,ws://10.2.2.17:9947,28718,239,Collecting,46
2026-06-06T00:14:58.452Z,ws://10.2.2.11:9948,28719,239,Collecting,46
2026-06-06T00:14:58.452Z,ws://10.2.2.11:9950,21273,177,Collecting,47
2026-06-06T00:15:13.452Z,ws://10.2.2.11:9945,69834,193,Collecting,50
2026-06-06T00:15:13.452Z,ws://10.2.2.17:9947,28721,239,Collecting,50
2026-06-06T00:15:13.452Z,ws://10.2.2.11:9948,28722,239,Collecting,51
2026-06-06T00:15:13.452Z,ws://10.2.2.11:9950,21276,177,Collecting,50
2026-06-06T00:15:28.452Z,ws://10.2.2.11:9945,69836,193,Collecting,52
2026-06-06T00:15:28.452Z,ws://10.2.2.17:9947,28723,239,Collecting,54
2026-06-06T00:15:28.452Z,ws://10.2.2.11:9948,28724,239,Collecting,54
2026-06-06T00:15:28.452Z,ws://10.2.2.11:9950,21278,177,Collecting,51
2026-06-06T00:15:43.453Z,ws://10.2.2.11:9945,69839,193,Collecting,57
2026-06-06T00:15:43.453Z,ws://10.2.2.17:9947,28726,239,Collecting,58
2026-06-06T00:15:43.453Z,ws://10.2.2.11:9948,28727,239,Collecting,55
2026-06-06T00:15:43.453Z,ws://10.2.2.11:9950,21281,177,Collecting,59
2026-06-06T00:15:58.455Z,ws://10.2.2.11:9945,69841,193,Collecting,61
2026-06-06T00:15:58.455Z,ws://10.2.2.17:9947,28728,239,Collecting,61
2026-06-06T00:15:58.455Z,ws://10.2.2.11:9948,28729,239,Collecting,57
2026-06-06T00:15:58.455Z,ws://10.2.2.11:9950,21283,177,Collecting,61
2026-06-06T00:16:13.455Z,ws://10.2.2.11:9945,69844,193,Collecting,65
2026-06-06T00:16:13.455Z,ws://10.2.2.17:9947,28731,239,Collecting,66
2026-06-06T00:16:13.455Z,ws://10.2.2.11:9948,28732,239,Collecting,61
2026-06-06T00:16:13.455Z,ws://10.2.2.11:9950,21286,177,Collecting,65
2026-06-06T00:16:28.456Z,ws://10.2.2.11:9945,69846,193,Collecting,68
2026-06-06T00:16:28.456Z,ws://10.2.2.17:9947,28733,239,Collecting,69
2026-06-06T00:16:28.456Z,ws://10.2.2.11:9948,28734,239,Collecting,68
2026-06-06T00:16:28.456Z,ws://10.2.2.11:9950,21288,177,Collecting,70
2026-06-06T00:16:43.456Z,ws://10.2.2.11:9945,69849,193,Syncing,71
2026-06-06T00:16:43.456Z,ws://10.2.2.17:9947,28736,239,Collecting,74
2026-06-06T00:16:43.456Z,ws://10.2.2.11:9948,28737,239,Collecting,72
2026-06-06T00:16:43.456Z,ws://10.2.2.11:9950,21291,177,Collecting,72
2026-06-06T00:16:58.458Z,ws://10.2.2.11:9945,69851,193,Syncing,71
2026-06-06T00:16:58.458Z,ws://10.2.2.17:9947,28738,239,Collecting,74
2026-06-06T00:16:58.458Z,ws://10.2.2.11:9948,28739,239,Collecting,74
2026-06-06T00:16:58.458Z,ws://10.2.2.11:9950,21293,177,Collecting,76
2026-06-06T00:17:13.458Z,ws://10.2.2.11:9945,69854,193,Syncing,71
2026-06-06T00:17:13.458Z,ws://10.2.2.17:9947,28741,239,Collecting,77
2026-06-06T00:17:13.458Z,ws://10.2.2.11:9948,28742,239,Collecting,81
2026-06-06T00:17:13.458Z,ws://10.2.2.11:9950,21296,177,Collecting,78
2026-06-06T00:17:28.459Z,ws://10.2.2.11:9945,69856,193,Syncing,71
2026-06-06T00:17:28.459Z,ws://10.2.2.17:9947,28743,239,Collecting,82
2026-06-06T00:17:28.459Z,ws://10.2.2.11:9948,28744,239,Collecting,81
2026-06-06T00:17:28.459Z,ws://10.2.2.11:9950,21298,177,Collecting,81
2026-06-06T00:17:43.460Z,ws://10.2.2.11:9945,69859,193,Syncing,71
2026-06-06T00:17:43.460Z,ws://10.2.2.17:9947,28746,239,Collecting,85
2026-06-06T00:17:43.460Z,ws://10.2.2.11:9948,28747,239,Collecting,83
2026-06-06T00:17:43.460Z,ws://10.2.2.11:9950,21301,177,Collecting,87
2026-06-06T00:17:58.460Z,ws://10.2.2.11:9945,69861,193,Syncing,71
2026-06-06T00:17:58.460Z,ws://10.2.2.17:9947,28748,239,Collecting,88
2026-06-06T00:17:58.460Z,ws://10.2.2.11:9948,28749,239,Collecting,85
