timestamp,block_number,block_hash,extrinsics_total,bridge_extrinsics,ccmc_digest_calls,fmc_bill_calls,ccmc_events,fmc_events
2026-06-20T11:46:24.695Z,68,0x0d3effa91fe5f70e91cf3abfa903b4b7257e82fd73e26b62bbcd70fb9756a982,1,0,0,0,0,0
2026-06-20T11:46:30.787Z,69,0xd07cbe590d1ae8e42e6fcc0df6c6e62dc6b68a7bfeaf03d19b9db04438e44498,1,0,0,0,0,0
2026-06-20T11:46:36.707Z,70,0x62c59e1f4cf124cf913f6c2503ac06d67cf2fe2d8ea47206794d9abc7e029662,1,0,0,0,0,0
2026-06-20T11:46:42.700Z,71,0xf9430ed5c6b2281d985e6e4eb27ed26e10b632fee02e761d48261848053dc80b,1,0,0,0,0,0
2026-06-20T11:46:48.760Z,72,0x510a79b402b07ca8876a00c5797f0c24242e82cf1e560e63c0c5a54b07b9fb57,1,0,0,0,0,0
2026-06-20T11:46:54.708Z,73,0x2c95520d310b6128d81b2648c7a447d8167a39863b3d73bbb7abea2855ba6ef2,1,0,0,0,0,0
2026-06-20T11:47:00.720Z,74,0x6a9edc4d5650f4acb985e18242f177ce737a13f8f8eb09f79632ad72d1f4806c,1,0,0,0,0,0
2026-06-20T11:47:06.711Z,75,0x163996f627e5342a56714d34b3199df38614de8e9da124549d5020e4d4c10eee,1,0,0,0,0,0
2026-06-20T11:47:12.795Z,76,0x55cb446ec9c8cf3586d903dc741143abdf7ba1b0b26b9135f7da1ea1c30965ec,1,0,0,0,0,0
2026-06-20T11:47:18.786Z,77,0x35ceee15ea1945f0e9d1035ea53acf94a6bd8ce82aad834c817849c46e101ce7,1,0,0,0,0,0
2026-06-20T11:47:24.732Z,78,0x232d027cf9aac71be0da1a4a51b8cbeadb19ee10ffdc48c6ac07cdac924899d0,1,0,0,0,0,0
2026-06-20T11:47:30.782Z,79,0xe04f27660f87709e8aa6299f0f751aeb171501925bc8906d027d4139ef6cbc0c,1,0,0,0,0,0
2026-06-20T11:47:36.748Z,80,0x7ef05f4b95ef5fce93d71be81a14aa93feb048987ad42723a0e1c72feafc9a84,1,0,0,0,0,0
2026-06-20T11:47:42.749Z,81,0x41bd200cedba3d9ab44e5ae3a7a26cff67aff78bb0e53602656e411f70f6e3c3,1,0,0,0,0,0
2026-06-20T11:47:48.763Z,82,0x776ffb65f2a1605d11c7ed382bae9d09ac576e47ccf7587d5ba1269ee81a85f2,1,0,0,0,0,0
2026-06-20T11:47:54.746Z,83,0x8699a6cbe85b51ed99ff2c18ba341a448c88d878cc6ffff24a423999f1a3411b,2,1,1,0,0,0
2026-06-20T11:48:00.767Z,84,0xb4424ef0c2c6ed03e1f0eb0b0cfa2d36e2b6ea83fd5b110f4fac078491ee5ce2,6,5,4,1,0,0
2026-06-20T11:48:06.790Z,85,0x626e2b7d69c05cf67ef51fe1da3101b9cff2fc6e267b481a77d49181e8699592,5,4,0,4,0,0
2026-06-20T11:48:12.766Z,86,0x18636a9569d9bd8470165b64662681ab1eb5b5cf91c4d17a9211934afc201730,1,0,0,0,0,0
2026-06-20T11:48:18.779Z,87,0x1b065a509045c9e8e1cc189a7a190f372e7871b4a1dd354645c8b18d23c043b5,1,0,0,0,0,0
2026-06-20T11:48:24.769Z,88,0x3532ceecb2d4b5e8d42d4ed3671c8100f3bbb8d1d75ba69f0de0d6cd6bbf0948,1,0,0,0,0,0
2026-06-20T11:48:30.770Z,89,0x662c530d860453d485436634f967f578c06a03bb584e95951b074a269b52fc05,1,0,0,0,0,0
2026-06-20T11:48:36.770Z,90,0xcbbda320a7f0617272d0b5a9428a706e791fca78f1f20191168f0c1e936a5d3e,1,0,0,0,0,0
2026-06-20T11:48:42.803Z,91,0x94979b4e9c0515302e7e4d068ccfe2c26f22c980f379f8df427eefcd85204953,1,0,0,0,0,0
2026-06-20T11:48:48.799Z,92,0x0c64237680fb55c91329f31535c1658c29ebcb49dc8a4a6a98e413cb80f03be8,1,0,0,0,0,0
2026-06-20T11:48:54.781Z,93,0x0f4c49351cb7037e5ba9c4a8d35da1fa10954210ab9bfb73bdfaec7ede9c5cdb,1,0,0,0,0,0
2026-06-20T11:49:00.783Z,94,0x0e12971cf0e97a10a23dd04dba986e149d1a451c7faf4a72ebab70c1792af02b,1,0,0,0,0,0
2026-06-20T11:49:06.790Z,95,0x054d9b870e79a11df497e82803ed788342d9042465708c6a6a7128e2f52eb2a8,1,0,0,0,0,0
2026-06-20T11:49:12.812Z,96,0xc920abdf2e4f9c562fd2f0545af09cdbfce0199dd989eb49cd2aad2c9f13c790,1,0,0,0,0,0
2026-06-20T11:49:18.794Z,97,0x88f838422c130141e1705ace489df5263d8359baabc5fc1e76aeb51c4ce3596c,1,0,0,0,0,0
2026-06-20T11:49:24.794Z,98,0x5c2fd1b0d75e6b7ebb1c5517d4c854c9811bc89bab824369606d7c1b80f83009,1,0,0,0,0,0
2026-06-20T11:49:30.799Z,99,0x7b9d9d718353d80d72f18154710857c9b3ae40dfbb51ad55de6c34f28ea38127,1,0,0,0,0,0
2026-06-20T11:49:36.824Z,100,0xc90a489903195a71b97c3af3cecbbfc72145de63d47a30995cc8c5ae2eb60960,1,0,0,0,0,0
2026-06-20T11:49:42.806Z,101,0xfdd1f0baf7bc95b2b8c84a1ceaadcc4851198fb9cfb16aaa25d9f7c54466e203,1,0,0,0,0,0
2026-06-20T11:49:48.813Z,102,0x535bb1661c43584a29ab0726272ffe434a9c5248af8359ea91f514fa01100d65,1,0,0,0,0,0
2026-06-20T11:49:54.829Z,103,0x50b1876b31357576e5ff12e054c7ced3d2219c80c84db0a625f87c896a65f35e,1,0,0,0,0,0
2026-06-20T11:50:00.831Z,104,0xf6e39d9cde24a71df1ab9a31d3a2d1063e1dc363a762db7ad3c4198360d4c042,1,0,0,0,0,0
2026-06-20T11:50:06.817Z,105,0x8e98989a7bba405fd6cbdecc50413ba23612b01c446ac403106e54c1a5f66043,1,0,0,0,0,0
2026-06-20T11:50:12.827Z,106,0x1088a3ccee47a1563daf187fd5e88e8d0f897cc39d949dc4771f35207551223e,1,0,0,0,0,0
2026-06-20T11:50:18.826Z,107,0xe611fe0dde359528293b67445f1bcb08bcbdcf55b7c7d1c51f8a15d98fbbddeb,1,0,0,0,0,0
