timestamp,block_number,block_hash,extrinsics_total,bridge_extrinsics,ccmc_digest_calls,fmc_bill_calls,ccmc_events,fmc_events
2026-06-19T15:55:12.805Z,3719,0x09212cedef74aac16bd56989a84f9ecbb97d117cc146e5efed9d323e1e8c1c6e,1,0,0,0,0,0
2026-06-19T15:55:18.789Z,3720,0x959fc962790a6a42436eb1fb25074e7d78a1b5f2e9650c80561551bb043f04ba,1,0,0,0,0,0
2026-06-19T15:55:24.790Z,3721,0x1f2e51df96099daf13fe1be29fed4c4922ac64ad7dcbcdd928514ee1e0cce253,1,0,0,0,0,0
2026-06-19T15:55:30.801Z,3722,0xe3d66ec08ca6e286ae7eefd979989cf698068b5df87a0fe6611dc1fc9f030457,1,0,0,0,0,0
2026-06-19T15:55:36.806Z,3723,0x9807bdd6cbe7aaceeb59d69fba10a9e8c6faf5e14cbd68c8a3d790e0f17ff3cd,1,0,0,0,0,0
2026-06-19T15:55:42.807Z,3724,0xe485ad15ff5fd057f8fa68d10374613648267f4a5bdeb12a6e1eb54e98a1fa70,1,0,0,0,0,0
2026-06-19T15:55:48.800Z,3725,0x9f9d0e86015a3125256f393cc826a8208de55d91584644d6148561d725590381,1,0,0,0,0,0
2026-06-19T15:55:54.817Z,3726,0xadf154133867457a71754ed0e2c834f6c3a6c3d4643ce1523933251a1068ac7b,1,0,0,0,0,0
2026-06-19T15:56:00.818Z,3727,0x80e69384a6df30a1692aba856a4aa6a82106c276a167795de52300bdb1eeb2a0,1,0,0,0,0,0
2026-06-19T15:56:06.824Z,3728,0x7041df717d340ee0eb61a0ddf9acb0ab2400d4dc9f49ff28c9f5d13d7a713062,1,0,0,0,0,0
2026-06-19T15:56:12.838Z,3729,0x5be301f5c763390c84eeacb6f02552e8da19fe3fa6f14027b8fa0b1d927dbf4f,1,0,0,0,0,0
2026-06-19T15:56:18.833Z,3730,0xf0b2c6553d137e9d2674cbac54629522a02ffdc508a928c07223c444dc4fdac3,1,0,0,0,0,0
