timestamp,block_number,block_hash,extrinsics_total,bridge_extrinsics,ccmc_digest_calls,fmc_bill_calls,ccmc_events,fmc_events
2026-06-19T16:08:19.074Z,3850,0x03ee57fa81619154809a31a0512fd56c89baa050edf305a651cb0c54984142f7,1,0,0,0,0,0
2026-06-19T16:08:25.074Z,3851,0x01cc8c033ffe5ebefa11e050d8c1cfbb6f646f67358d613c6152e72cfadbaa50,1,0,0,0,0,0
2026-06-19T16:08:31.077Z,3852,0xdeb8e870c834a82cae8ed847f13b2e4753439b921f253e7435c3e6e58f9e3393,1,0,0,0,0,0
2026-06-19T16:08:37.067Z,3853,0xd8af835cd5c0571002862b2fb7d22471aa3713ec52aabab34078fba14ac6fbcc,1,0,0,0,0,0
2026-06-19T16:08:43.109Z,3854,0x0325e2b569ddb88e0c786cb5c55f8441737a52ef9fdc5b96368dd43e3c389f4f,1,0,0,0,0,0
2026-06-19T16:08:49.068Z,3855,0xdd38890733c9938bfe3a5c89fa53364970ab0b1e182d45b1a2ac9d61cb12b6af,1,0,0,0,0,0
2026-06-19T16:08:55.170Z,3856,0x75e673281f67ff1eb829107338a5263582f942bab8e3b1fc03a114ba629c84a6,1,0,0,0,0,0
2026-06-19T16:09:01.094Z,3857,0x701db5f42c687bf416efc795f3345cef3a89659f423ee52c5c7fc5c89e4bdd23,1,0,0,0,0,0
2026-06-19T16:09:07.099Z,3858,0xb456639ea1d86e606589cc6a8749a27c1fcb35ec0e0bf5f60e67c734ebeefc1f,1,0,0,0,0,0
2026-06-19T16:09:13.082Z,3859,0xe034f08e214f64b6cdced40d88d75b6d0ae8edda96312a69b7e47efd4f526f1c,1,0,0,0,0,0
2026-06-19T16:09:19.142Z,3860,0x2a636de2a1ac28624f27637ce3d3e3bc1289a213eb9cd97da85301b2cf861609,1,0,0,0,0,0
2026-06-19T16:09:25.087Z,3861,0xe2d5d25dc1296d8f3fa4d4bd3c2857c1eb19d57b45167aa6aba336040711913a,1,0,0,0,0,0
2026-06-19T16:09:31.143Z,3862,0x04030693e4e2a0cc0489c15cdc19f624c6c6faaef97a1c58612f8b145a447326,1,0,0,0,0,0
2026-06-19T16:09:37.099Z,3863,0xfaac9484d4e90de646629cc9cc5ef043e1aa248b5911d06d592b0eb2bc3ed5ad,1,0,0,0,0,0
2026-06-19T16:09:43.088Z,3864,0x56b937aa4965227e2a94f732257c6c6f9ba5563628c69f8b8e6e88c8001f7323,1,0,0,0,0,0
2026-06-19T16:09:49.086Z,3865,0xddea111d41dbf574f525542786fbe6ea1dbdb4e0bd85d1e80d5d0382c8fa39cd,1,0,0,0,0,0
