timestamp,block_number,block_hash,extrinsics_total,bridge_extrinsics,ccmc_digest_calls,fmc_bill_calls,ccmc_events,fmc_events
2026-06-20T07:12:48.731Z,66,0x08c356ebb4435162f6390571963145f062aa86ae3e0babbbeaddc551a96f1703,1,0,0,0,0,0
2026-06-20T07:12:54.722Z,67,0x7b2993fb64a449318589d95c7d7c7f0154ec3a66e36324c4f76652a49ada1517,1,0,0,0,0,0
2026-06-20T07:13:00.744Z,68,0x247ff5320b15e7a518087be06080b74d980cd350c1e9462bb93c6d6b9059749b,1,0,0,0,0,0
2026-06-20T07:13:06.712Z,69,0x5bc8b119eab3332996f73c5cf0e2ed7003ee342100ed288784c1a3c6e2316f9a,1,0,0,0,0,0
2026-06-20T07:13:12.716Z,70,0xaccb70f57982fc78ad9b9295b19fe1af215d36744964caa3bac72f47e5c5e03d,1,0,0,0,0,0
2026-06-20T07:13:18.718Z,71,0x3dc2227e470826e9234650aaea6a5d24e60390260a16b045bb042941243a22b3,1,0,0,0,0,0
2026-06-20T07:13:24.722Z,72,0x2d4892ca0d45434452bb4a58406dea8abf67c7c8e46ddec80a827260b1db3322,1,0,0,0,0,0
2026-06-20T07:13:30.725Z,73,0x472d4c15daab423fb794de08da30cf5edce69a3bf2c44b032b00633757dc8222,1,0,0,0,0,0
2026-06-20T07:13:36.732Z,74,0xafd71a5a5a7869429e22d942c734019230a1a23844beaeef59e17f313b76def3,1,0,0,0,0,0
2026-06-20T07:13:42.733Z,75,0x2c36226a6ccdb7bcab731c487c0b8789e1bbdff3468ae72144f2b36400e356d5,1,0,0,0,0,0
2026-06-20T07:13:48.738Z,76,0xf04f39028f91b6228ad94530c5d7d94ca73265302eb230b699775fe544b0f80f,1,0,0,0,0,0
2026-06-20T07:13:54.740Z,77,0xcdde096ef73ab11151bd96a0d9ba4bc2f22728ee554121489a240098bf72f54c,1,0,0,0,0,0
2026-06-20T07:14:00.736Z,78,0x5fcccda710c7afc1e4818d3272265baaafea505982185214493cf65273f5174e,1,0,0,0,0,0
2026-06-20T07:14:06.752Z,79,0x291a57d86faee1f9eece91ea5c26c2a0bf7dac3e4b35da396cea197278de0554,1,0,0,0,0,0
2026-06-20T07:14:12.746Z,80,0xb294e61f9ef62425a2dc25cee720217d20abedadd885bf46851739c8473aec9b,1,0,0,0,0,0
2026-06-20T07:14:18.752Z,81,0xf415769337a2fadd88054040e255e2e207e34b9025459de93642a94c14c59e8f,1,0,0,0,0,0
2026-06-20T07:14:24.753Z,82,0xa0777272805cb6e1d1c6afd08045bc17f72638d7392592d658ede34852267d0c,1,0,0,0,0,0
2026-06-20T07:14:30.752Z,83,0xc714d65b3e232530f2db297b1f702b589039843fb0973629303fd2d80a729257,4,3,3,0,0,0
2026-06-20T07:14:36.783Z,84,0x50cc26a34eb251a42b5c236fdc6282d97907f6ea069dadae37ffa2c4d6b5d690,6,5,2,3,0,0
2026-06-20T07:14:42.777Z,85,0xd3b0cf4a9781de4d2e4927e0cfe579f8ec5b323a26f7cf9d13eb4d898d551f96,3,2,0,2,0,0
2026-06-20T07:14:48.769Z,86,0x65d036f4f0156a17cc590d8cdf447881fc883b25d214d34ead5c94dac27ef2f8,1,0,0,0,0,0
2026-06-20T07:14:54.767Z,87,0xac43d6b79e0c8a43f25e2075e398fbeca2620584a99f2ac716cae355c503b1ca,1,0,0,0,0,0
