timestamp,block_number,block_hash,extrinsics_total,bridge_extrinsics,ccmc_digest_calls,fmc_bill_calls,ccmc_events,fmc_events
2026-06-20T06:52:30.302Z,42,0xc80f222060191de55762bee6d6105b344685ed255fd9a60a4b4460ec6b71fbbc,1,0,0,0,0,0
2026-06-20T06:52:36.306Z,43,0x023c2c6cf13eb18759b3982c75957727cb33235a1a6b633088bf9b8e512b36f5,1,0,0,0,0,0
2026-06-20T06:52:42.303Z,44,0x3b76efa73c5647cc0e14cb5525daf6beba7dc02827ae8b8a7f94f255f85853b0,1,0,0,0,0,0
2026-06-20T06:52:48.320Z,45,0xc5ee7d5cfedb36fb896e6599701a2c3960d2d3a402466e749529c3776f19f551,1,0,0,0,0,0
2026-06-20T06:52:54.307Z,46,0x74b5807f502206016bb279d01fdff218d15c4c6d7bd88e1984d588328f68301a,1,0,0,0,0,0
2026-06-20T06:53:00.311Z,47,0xe6bffb175d9133bca8ae679da0e775880e7ba091acff08275ca2ee6a1bea2fac,1,0,0,0,0,0
2026-06-20T06:53:06.314Z,48,0x02fddb5553b055ecdb4098c073c2c2d83ef5cde3e7b6a8b4d35eb987bb3d1f18,1,0,0,0,0,0
2026-06-20T06:53:12.325Z,49,0xfc6199a4ffb6a1dda46a871ac6e47abd40351b3088f12fd218998b011c1ae20e,1,0,0,0,0,0
2026-06-20T06:53:18.326Z,50,0xfb8f1dc2de5dbce7d25fa4aeaaa10ae4a3ce13ffcdbe6819932a297c829a6571,1,0,0,0,0,0
2026-06-20T06:53:24.324Z,51,0x3d939d5bd12d0f75c519ceff6315e57b04a9b5c18a681aa223bacefbe21ed328,1,0,0,0,0,0
2026-06-20T06:53:30.330Z,52,0x6d58856a35700ba8bb4ed6fd62de678cd6a149b5bb77f9d1886991083d554d4d,1,0,0,0,0,0
2026-06-20T06:53:36.332Z,53,0x8ca456dbef5f7f0fbfd21ee0fd4b07534cd516dbf190c18ff4f95eead8234fac,1,0,0,0,0,0
2026-06-20T06:53:42.342Z,54,0x1617c3692a8602c5003a767e692e478959d996553d1543ae108e71b62cc29900,1,0,0,0,0,0
2026-06-20T06:53:48.345Z,55,0xe7506ad27dde6e9f29c68342238ef74146d67fb6689ba55f5a1346cc0766d52c,1,0,0,0,0,0
2026-06-20T06:53:54.344Z,56,0x50714e56c924d0382e00bc77bf77b9d61f5da824f9062eddb268a725a22e7cf1,1,0,0,0,0,0
2026-06-20T06:54:00.346Z,57,0xdb725d6df1a6f2b91102d8390e4c56727b39f29d2f367ae46d031116dcf58498,1,0,0,0,0,0
2026-06-20T06:54:06.351Z,58,0x62665c52458ec948df9f29551c81f52a6207f3a60010da0472e1bbfff01edb0e,1,0,0,0,0,0
2026-06-20T06:54:12.356Z,59,0xc061cbee9e273569342b368c7935212e79bd119ce1c8ee951a457589a7712498,1,0,0,0,0,0
2026-06-20T06:54:18.357Z,60,0xa3fa2098922ff6880efb35207b14c949e13a24261fb63f82d9b78d6ed30dbf69,1,0,0,0,0,0
2026-06-20T06:54:24.354Z,61,0xe6bca853aab002616f590ae755081c7601d702c78f95baa62577527d72d3e56e,1,0,0,0,0,0
2026-06-20T06:54:30.365Z,62,0x845f564530e687551988f48644548d341b255226e2ea9b693464761ff1018643,4,3,3,0,0,0
2026-06-20T06:54:36.387Z,63,0x9dcce3fca3de06e6fc7b0728c40dc6e64e9884d5157a50fb0d1ac0c1dc010359,4,3,0,3,0,0
2026-06-20T06:54:42.362Z,64,0x08103b28355415a57363a222874e3ee6332ab749cd07185dbf39b9ba28ed7b11,1,0,0,0,0,0
2026-06-20T06:54:48.370Z,65,0xdf136dd55343469b63b2fd607cc61c615aac5dd3e3f314b6f1f00082be783fb5,1,0,0,0,0,0
